Stkcd,Stknme,Listdt,Cuntrycd,Conme,Conme_en,Indcd,Indnme,Nindcd,Nindnme,Nnindcd,Nnindnme,Estbdt,PROVINCE,PROVINCECODE,CITY,CITYCODE,OWNERSHIPTYPE,OWNERSHIPTYPECODE,Favaldt,Curtrd,Ipoprm,Ipoprc,Ipocur,Nshripo,Parvcur,Ipodt,Parval,Sctcd,Statco,Crcd,Statdt,Commnt,Markettype
28,国药一致,1993/8/9,10,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,6,商业,H,批发和零售贸易,F51,批发业,1993/7/3,广东省,440000,深圳市,440300,国营或国有控股,P0301,1993/8/9,CNY,2.5,3.5,CNY,30000,CNY,1993/5/5,1,2,A,200028,2023/4/27,,4
29,深深房A,1993/9/15,10,深圳经济特区房地产(集团)股份有限公司,"Shenzhen Special Economic Zone Real Estate & Properties (Group) Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,1993/8/15,广东省,440000,深圳市,440300,国营或国有控股,P0301,1993/9/15,CNY,2.8,3.8,CNY,112000,CNY,1993/6/21,1,2,A,200029,2023/4/27,,4
30,富奥股份,1993/9/29,10,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,5,工业,C75,交通运输设备制造业,C36,汽车制造业,1993/8/28,吉林省,220000,长春市,220100,国营或国有控股,P0301,1993/9/29,CNY,3.55,4.55,CNY,43500,CNY,1993/6/28,1,2,A,200030,2023/4/27,,4
31,大悦城,1993/10/8,10,大悦城控股集团股份有限公司,"Grandjoy Holdings Group Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,1993/9/26,广东省,440000,深圳市,440300,国营或国有控股,P0301,1993/10/8,CNY,3.38,4.38,CNY,67000,CNY,1993/8/8,1,2,A,,2023/4/27,,4
32,深桑达A,1993/10/28,10,深圳市桑达实业股份有限公司,"Shenzhen SED Industry Co., Ltd.",3,房地产,E01,土木工程建筑业,E49,建筑安装业,1993/9/26,广东省,440000,深圳市,440300,国营或国有控股,P0301,1993/10/28,CNY,2.36,3.36,CNY,27500,CNY,1993/8/12,1,2,A,,2023/4/27,,4
33,新都退,1994/1/3,10,深圳新都酒店股份有限公司,"Shenzhen Century Plaza Hotel Co., Ltd.",6,商业,K32,旅馆业,H61,住宿业,1993/11/15,广东省,440000,深圳市,440300,私营企业,P0306,1994/1/3,CNY,2.15,3.15,CNY,42000,CNY,1993/9/30,1,2,D,,2017/7/7,,4
34,神州数码,1994/5/9,10,神州数码集团股份有限公司,"Digital China Group Co., Ltd.",6,商业,H,批发和零售贸易,F51,批发业,1993/12/18,广东省,440000,深圳市,440300,私营企业,P0306,1994/5/9,CNY,4.2,5.2,CNY,46800,CNY,1993/10/18,1,2,A,,2023/4/27,,4
35,中国天楹,1994/4/8,10,中国天楹股份有限公司,China Tianying Inc.,2,公用事业,K99,其他社会服务业,N77,生态保护和环境治理业,1994/1/8,江苏省,320000,海安市,320685,私营企业,P0306,1994/4/8,CNY,2.9,3.9,CNY,15000,CNY,1993/11/24,1,2,A,,2023/4/27,,4
36,华联控股,1994/6/17,10,华联控股股份有限公司,China Union Holdings Ltd.,3,房地产,J,房地产业,K70,房地产业,1994/1/29,广东省,440000,深圳市,440300,私营企业,P0306,1994/6/17,CNY,1.6,2.6,CNY,34100,CNY,1993/12/13,1,2,A,,2023/4/27,,4
37,深南电A,1994/7/1,10,深圳南山热电股份有限公司,"Shenzhen Nanshan Power Co., Ltd.",5,工业,D01,电力、蒸汽、热水的生产和供应业,D44,电力、热力生产和供应业,1994/4/19,广东省,440000,深圳市,440300,中外合资,P0303,1994/7/1,CNY,3.6,4.6,CNY,40000,CNY,1994/1/3,1,2,A,200037,2023/4/27,,4
