Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Markettype,Capchgdt,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio
1,2018/9/5,10.3,10.33,10.05,10.05,117945317,1202345698,172560980.1,172562634.2,-0.036433,-0.036433,1042.691276,832.503281,4,2018/5/21,1,,,10.43,-0.036433
1,2018/9/6,10.05,10.14,9.95,9.97,71177755,713975749,171187360.3,171189001.3,-0.00796,-0.00796,1034.391246,825.876389,4,2018/5/21,1,,,10.05,-0.00796
1,2018/9/7,10.04,10.18,9.93,10.01,80903534,815151723,171874170.2,171875817.8,0.004012,0.004012,1038.541261,829.189835,4,2018/5/21,1,,,9.97,0.004012
1,2018/9/10,10.01,10.07,9.84,9.88,63698929,631174169.9,169642038.1,169643664.3,-0.012987,-0.012987,1025.053712,818.421136,4,2018/5/21,1,,,10.01,-0.012987
1,2018/9/11,9.9,10.03,9.81,9.91,71296751,707337570.1,170157145.5,170158776.6,0.003036,0.003036,1028.166223,820.90622,4,2018/5/21,1,,,9.88,0.003036
1,2018/9/12,9.87,9.97,9.82,9.88,56482916,558399563.2,169642038.1,169643664.3,-0.003027,-0.003027,1025.053712,818.421136,4,2018/5/21,1,,,9.91,-0.003027
1,2018/9/13,10.09,10.1,9.84,9.96,99972561,993389970.4,171015657.9,171017297.2,0.008097,0.008097,1033.353742,825.048028,4,2018/5/21,1,,,9.88,0.008097
1,2018/9/14,9.98,9.98,9.81,9.84,61975019,611422480.2,168955228.3,168956847.8,-0.012048,-0.012048,1020.903697,815.10769,4,2018/5/21,1,,,9.96,-0.012048
1,2018/9/17,9.8,9.8,9.68,9.69,51708233,502609643.6,166379691.2,166381286.1,-0.015244,-0.015244,1005.341141,802.682268,4,2018/5/21,1,,,9.84,-0.015244
1,2018/9/18,9.73,10.12,9.7,10.08,112680742,1120867543,173076087.5,173077746.6,0.040248,0.040248,1045.803788,834.988365,4,2018/5/21,1,,,9.69,0.040248
1,2018/9/19,10.03,10.34,10.03,10.24,123154877,1257191506,175823327,175825012.4,0.015873,0.015873,1062.403848,848.242149,4,2018/5/21,1,,,10.08,0.015873
1,2018/9/20,10.27,10.36,10.19,10.23,62034836,636742814.2,175651624.5,175653308.3,-0.000977,-0.000977,1061.366344,847.413788,4,2018/5/21,1,,,10.24,-0.000977
1,2018/9/21,10.26,10.7,10.18,10.67,162451841,1707850488,183206533.1,183208289.3,0.043011,0.043011,1107.016509,883.861693,4,2018/5/21,1,,,10.23,0.043011
1,2018/9/25,10.52,10.68,10.48,10.55,97701470,1030715785,181146103.5,181147839.9,-0.011246,-0.011246,1094.566464,873.921355,4,2018/5/21,1,,,10.67,-0.011246
1,2018/9/26,10.61,10.92,10.52,10.71,149051343,1600626209,183893342.9,183895105.7,0.015166,0.015166,1111.166524,887.175139,4,2018/5/21,1,,,10.55,0.015166
1,2018/9/27,10.65,10.84,10.57,10.74,88036333,942200398.6,184408450.3,184410218.1,0.002801,0.002801,1114.279035,889.660223,4,2018/5/21,1,,,10.71,0.002801
1,2018/9/28,10.78,11.27,10.78,11.05,211024267,2331358289,189731226.8,189733045.6,0.028864,0.028864,1146.441651,915.339429,4,2018/5/21,1,,,10.74,0.028864
1,2018/10/8,10.7,10.79,10.45,10.45,168635852,1793455283,179429078.8,179430798.8,-0.054299,-0.054299,1084.191426,865.637741,4,2018/5/21,1,,,11.05,-0.054299
1,2018/10/9,10.46,10.7,10.39,10.56,106408426,1117946551,181317805.9,181319544,0.010526,0.010526,1095.603967,874.749717,4,2018/5/21,1,,,10.45,0.010526
1,2018/10/10,10.54,10.66,10.38,10.45,99520008,1045666181,179429078.8,179430798.8,-0.010417,-0.010417,1084.191426,865.637741,4,2018/5/21,1,,,10.56,-0.010417
1,2018/10/11,10.05,10.16,9.7,9.86,199514383,1994186612,169298633.2,169300256.1,-0.056459,-0.056459,1022.978704,816.764414,4,2018/5/21,1,,,10.45,-0.056459
1,2018/10/12,9.97,10.34,9.87,10.3,151681028,1532651400,176853541.8,176855237.1,0.044625,0.044625,1068.628869,853.212319,4,2018/5/21,1,,,9.86,0.044625
